Name,Firm,Completeness %,Missing Count,Missing Fields,ID,Has Bio,Has Sectors,Has Stage,Has URL,Has LinkedIn,LinkedIn URL,Website URL
"Aydin Senkut","Aydin Senkut",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",3abb7d21-eb84-418b-9f17-5c8bceefec6b,No,Yes,Yes,No,Yes,"https://linkedin.com/in/aydin-senkut",""
"Aydin Senkut (Felicis)","Aydin Senkut (Felicis)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",fbb295b0-0882-472f-ae9a-be145fb9f0ef,No,Yes,Yes,No,Yes,"https://linkedin.com/in/aydin-senkut",""
"Aydin SenkutFounder (Felicis)","Aydin SenkutFounder (Felicis)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",2998fece-5b64-40c4-9255-1702c4c4830b,No,Yes,Yes,No,Yes,"https://linkedin.com/in/aydin-senkutfounder",""
"Ayush Goradia","Ayush Goradia",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",7aeef8a9-128b-451c-9b69-5415b6d55fe7,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ayush-goradia",""
"Ayushi Gupta","Ayushi Gupta",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",a15b9b98-776c-4d08-b3bc-3003568a55e6,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ayushi-gupta",""
"B Capital Group","B Capital Group",49,5,"bio; firm_description_normalized; check_size; notable_investments; url",47261d42-2513-45c0-b6dd-7fe3cfb7058c,No,Yes,Yes,No,Yes,"https://linkedin.com/in/b-capital-group",""
"backed group","backed group",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",699b307c-0677-470e-a3ba-b2f81083caf0,No,Yes,Yes,No,Yes,"https://linkedin.com/in/backed-group",""
"BarrowsInfrastructureCloudZero Paul Ferri (Matrixpartners)","BarrowsInfrastructureCloudZero Paul Ferri (Matrixpartners)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",1fb83d12-abef-4eba-91dd-ba34f92a4a12,No,Yes,Yes,No,Yes,"https://linkedin.com/in/barrowsinfrastructurecloudzero-paul-ferri",""
"Barry Eggers","Barry Eggers",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",1ac3a352-de9e-4304-85a8-736ed38cc6cb,No,Yes,Yes,No,Yes,"https://linkedin.com/in/barry-eggers",""
"Bean Choi","Bean Choi",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",0b9b7c63-8bf5-44a8-9a68-7a28ad93a188,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bean-choi",""
"Bean Huynh","Bean Huynh",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",625c1c6a-b215-410b-b9d3-80cd300ea87f,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bean-huynh",""
"Bejul Somaia","Bejul Somaia",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",b0e5e197-79f3-47cc-a934-2c2ba88f07ef,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bejul-somaia",""
"Ben CasnochaGeneral (Villageglobal)","Ben CasnochaGeneral (Villageglobal)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",afcc89c6-73a4-4305-83e2-3644212ed33a,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ben-casnochageneral",""
"Ben Hartheimer (North Pond Ventures)","Ben Hartheimer (North Pond Ventures)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",42c7d80f-c47a-42a3-840f-adfa6e850a17,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ben-hartheimer",""
"Ben Hartheimer Senior (Northpondventures)","Ben Hartheimer Senior (Northpondventures)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",beb4e5f2-d6af-4798-8cfd-6dd629ba2aae,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ben-hartheimer-senior",""
"Ben Lerer","Ben Lerer",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",ccef41f0-9c44-4931-9bd7-d8b30c01a53b,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ben-lerer",""
"Ben Paull","Ben Paull",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",56964186-7753-481f-a234-467ec6f5ce16,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ben-paull",""
"Benjamin Kim","Benjamin Kim",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",6f58e9a7-577c-4d65-9126-b08e93fb0f44,No,Yes,Yes,No,Yes,"https://linkedin.com/in/benjamin-kim",""
"Big Idea Ventures","Big Idea Ventures",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",6e8f0657-66a8-4e67-95db-0519afd0a32b,No,Yes,Yes,No,Yes,"https://linkedin.com/in/big-idea-ventures",""
"Bijan Sabet","Bijan Sabet",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",4ceadfee-696d-4b08-8dd0-e4ac8d75a502,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bijan-sabet",""
"Bijan Sabet (Spark Capital)","Bijan Sabet (Spark Capital)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",126a8361-1eb2-46c6-912c-677b044e970c,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bijan-sabet",""
"Bill Elfers","Bill Elfers",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",3bf061b7-f253-4526-9442-1383b90b2215,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bill-elfers",""
"Bill Kaiser","Bill Kaiser",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",faa11a64-40dc-4f59-84f1-60b2153a492e,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bill-kaiser",""
"Bill Maris","Bill Maris",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",2db1b97d-cf8d-456f-a2fe-c01279a5bf60,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bill-maris",""
"Bill Payne","Bill Payne",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",b0dcb68e-01a5-4f6b-be8c-1c778d0fcf2c,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bill-payne",""
"Bio Carol Suh (Archventure)","Bio Carol Suh (Archventure)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",1f95e028-69c8-46d4-b4c9-603fbd5aa0ea,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bio-carol-suh",""
"Bio Clinton Bybee (Archventure)","Bio Clinton Bybee (Archventure)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",72884a31-7b73-4eef-82df-199eb55b5cf0,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bio-clinton-bybee",""
"Bio Jake Bauer (Archventure)","Bio Jake Bauer (Archventure)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",b34c3c8a-05f7-4701-b072-c055f3093f1d,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bio-jake-bauer",""
"Bio Keith Crandell (Archventure)","Bio Keith Crandell (Archventure)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",e213bd4b-db6c-49d3-b17f-2bf42d3e1c1a,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bio-keith-crandell",""
"Bio Keith Lenden (Archventure)","Bio Keith Lenden (Archventure)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",590183fa-519f-4706-b910-a02a5eef2e48,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bio-keith-lenden",""
"Bio Patrick Weiss (Archventure)","Bio Patrick Weiss (Archventure)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",fac0e9e7-6876-4775-a9da-a3a68c4517d5,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bio-patrick-weiss",""
"Bio Robert Nelsen (Archventure)","Bio Robert Nelsen (Archventure)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",04266bf0-2dfb-4ae7-b3ee-7dbef1dda376,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bio-robert-nelsen",""
"Bio Sean Kendall (Archventure)","Bio Sean Kendall (Archventure)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",67860b43-a8dd-41d3-a0ee-84fbeef89179,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bio-sean-kendall",""
"Bio Steve Lazarus (Archventure)","Bio Steve Lazarus (Archventure)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",07a8ce51-bbe9-4890-9cd1-5bccd0e656f6,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bio-steve-lazarus",""
"Blackstone","Blackstone",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",743e8993-427a-4b0c-a370-2fe2414b17fb,No,Yes,Yes,No,Yes,"https://linkedin.com/in/blackstone",""
"Blake Bartlett","Blake Bartlett",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",0011d354-b80c-4d1f-9fa5-2ba68827f225,No,Yes,Yes,No,Yes,"https://linkedin.com/in/blake-bartlett",""
"Bob Goodman","Bob Goodman",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",83148d67-1833-4663-9830-3e96b046f754,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bob-goodman",""
"Bob Henderson","Bob Henderson",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",7bd953c7-0450-445a-ad2c-16d6846c416a,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bob-henderson",""
"Brad Bolzon, Ph.D.","Brad Bolzon, Ph.D.",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",d7b626b3-628e-4b7a-86a6-596698a4de90,No,Yes,Yes,No,Yes,"https://linkedin.com/in/brad-bolzon",""
"Brenton Fargnoli (Lsvp)","Brenton Fargnoli (Lsvp)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",1a7dd598-2b3e-453d-a46b-f751fe65d406,No,Yes,Yes,No,Yes,"https://linkedin.com/in/brenton-fargnoli",""
"Brett Bolkowy","Brett Bolkowy",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",7ac8b634-02ff-4b87-9e52-b6be893030e2,No,Yes,Yes,No,Yes,"https://linkedin.com/in/brett-bolkowy",""
"Brett Gibson","Brett Gibson",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",239cc29f-3814-47ad-accf-4e6c162eb395,No,Yes,Yes,No,Yes,"https://linkedin.com/in/brett-gibson",""
"Brian Cuneo","Brian Cuneo",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",62638866-6a07-48c4-865d-e390f6239e7b,No,Yes,Yes,No,Yes,"https://linkedin.com/in/brian-cuneo",""
"Brian Cuneo Senior (Archventure)","Brian Cuneo Senior (Archventure)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",aac8969d-10f8-49f7-acf6-5808207c0710,No,Yes,Yes,No,Yes,"https://linkedin.com/in/brian-cuneo-senior",""
"Brian Feinstein","Brian Feinstein",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",392bd7b3-86e5-4288-9590-bd7e4a15a76d,No,Yes,Yes,No,Yes,"https://linkedin.com/in/brian-feinstein",""
"Brian O'Malley","Brian O'Malley",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",63e27f88-e477-44a4-89da-f5cd134fc58c,No,Yes,Yes,No,Yes,"https://linkedin.com/in/brian-o-malley",""
"Brian Stolle","Brian Stolle",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",da629447-8a52-49bc-aa2f-b7230b4f3d30,No,Yes,Yes,No,Yes,"https://linkedin.com/in/brian-stolle",""
"Brigitte Bonebrake","Brigitte Bonebrake",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",987c0f98-3678-476f-a0fb-8840b729eeae,No,Yes,Yes,No,Yes,"https://linkedin.com/in/brigitte-bonebrake",""
"Brigitte Bonebrake (Lerer Hippeau)","Brigitte Bonebrake (Lerer Hippeau)",49,5,"bio; investment_thesis; check_size; notable_investments; url",47203f27-f424-4083-8727-a5b43a54f291,No,Yes,Yes,No,Yes,"https://linkedin.com/in/brigitte-bonebrake",""
"Brooke Seawell","Brooke Seawell",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",7e32cc52-71f7-44a6-b438-2a8c5d92cc44,No,Yes,Yes,No,Yes,"https://linkedin.com/in/brooke-seawell",""
"Bruce Armstrong","Bruce Armstrong",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",916e12c2-dc6a-4903-8ae4-ddbdd8e053c0,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bruce-armstrong",""
"Bruce Leak","Bruce Leak",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",4566d615-b570-4f4c-8386-a19d8a0020b4,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bruce-leak",""
"Bruno Werneck de Almeida","Plaid",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",74f5cd12-1d20-418f-8364-bb7a02e6b585,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bruno-werneck-de-almeida",""
"Bryant Lau","Bryant Lau",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",381ffdcb-9dc9-45a5-a0aa-28b84fec7151,No,Yes,Yes,No,Yes,"https://linkedin.com/in/bryant-lau",""
"built our fund","built our fund",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",541d8833-21bd-434e-8231-ed14247560bf,No,Yes,Yes,No,Yes,"https://linkedin.com/in/built-our-fund",""
"but private equity","but private equity",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",49778f5f-b026-4e17-b2b2-7ff653e9dae6,No,Yes,Yes,No,Yes,"https://linkedin.com/in/but-private-equity",""
"Caitlin Pintavorn","Caitlin Pintavorn",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",646884b5-3094-478e-bb2d-591eea4d86bf,No,Yes,Yes,No,Yes,"https://linkedin.com/in/caitlin-pintavorn",""
"Canaan Partners","Canaan Partners",49,5,"bio; firm_description_normalized; check_size; notable_investments; url",9b5e131c-d2a3-46ad-81e7-afa9b3fcf2a5,No,Yes,Yes,No,Yes,"https://linkedin.com/in/canaan-partners",""
"Capital Innovators","Capital Innovators",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",9a310b0f-3e08-4fac-8f5d-4d84ee577b3e,No,Yes,Yes,No,Yes,"https://linkedin.com/in/capital-innovators",""
"Capital Technologies","Capital Technologies",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",300f29cf-f952-4833-a9f1-cf066304b223,No,Yes,Yes,No,Yes,"https://linkedin.com/in/capital-technologies",""
"Carlo Biggio","Carlo Biggio",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",efbe6a33-5bc1-4834-997c-7e38fe3f6d9a,No,Yes,Yes,No,Yes,"https://linkedin.com/in/carlo-biggio",""
"Carlo Rizzuto, Ph.D. (Versant Ventures)","Carlo Rizzuto, Ph.D. (Versant Ventures)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",9b1bcfa5-bd09-44b9-8425-88621cc289bb,No,Yes,Yes,No,Yes,"https://linkedin.com/in/carlo-rizzuto",""
"Carlyle Group","Carlyle Group",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",4db381d9-42a0-4d7f-b4cc-b914f46249d6,No,Yes,Yes,No,Yes,"https://linkedin.com/in/carlyle-group",""
"Carmen Chang","Carmen Chang",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",2b516412-2315-472d-9b13-3095d0507eb6,No,Yes,Yes,No,Yes,"https://linkedin.com/in/carmen-chang",""
"Caroline Weintraub","True Beauty Ventures",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",f6f3b4bb-f604-44e7-ac68-a228101eb456,No,Yes,Yes,No,Yes,"https://linkedin.com/in/caroline-weintraub",""
"Casey Aylward","Casey Aylward",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",ee5e10db-9f3f-4f38-853c-13b791461c42,No,Yes,Yes,No,Yes,"https://linkedin.com/in/casey-aylward",""
"Caterina Fake","Caterina Fake",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",470934ac-4296-45be-9cf5-ba8f221a42b1,No,Yes,Yes,No,Yes,"https://linkedin.com/in/caterina-fake",""
"Cathy Dring","Cathy Dring",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",f7d0fdfe-8185-4d0d-b838-8069f16afe83,No,Yes,Yes,No,Yes,"https://linkedin.com/in/cathy-dring",""
"Cervin","Cervin",49,5,"investment_thesis; firm_description_normalized; check_size; notable_investments; url",ce0ab077-c003-4198-bbd5-77e26f0b8e3e,Yes,Yes,Yes,No,Yes,"https://linkedin.com/in/cervin",""
"Cervin Ventures","Cervin Ventures",49,5,"investment_thesis; firm_description_normalized; check_size; notable_investments; url",c422b0c8-e551-4f62-ad1d-3d14a00532cd,Yes,Yes,Yes,No,Yes,"https://linkedin.com/in/cervin-ventures",""
"CFA Vice (Northpondventures)","CFA Vice (Northpondventures)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",51d1bfaa-9e6c-42d0-a467-0b81c7b51aaa,No,Yes,Yes,No,Yes,"https://linkedin.com/in/cfa-vice",""
"Chamath Palihapitiya","Chamath Palihapitiya",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",d7a07d61-5711-44b0-b236-c50de01bd902,No,Yes,Yes,No,Yes,"https://linkedin.com/in/chamath-palihapitiya",""
"Changemakers Private Equity","Changemakers Private Equity",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",309ff643-be2b-4202-8971-db783e6bc5b8,No,Yes,Yes,No,Yes,"https://linkedin.com/in/changemakers-private-equity",""
"charge of capital","charge of capital",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",9eae3bbe-4061-4696-9b7a-e2557e8c8f0e,No,Yes,Yes,No,Yes,"https://linkedin.com/in/charge-of-capital",""
"Charles Birnbaum","Charles Birnbaum",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",1544e806-513e-4eb3-a074-6c9dfdf77c26,No,Yes,Yes,No,Yes,"https://linkedin.com/in/charles-birnbaum",""
"Charles Moldow","Charles Moldow",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",dc3d81c6-5aec-44a6-9b7a-932fbfa61f82,No,Yes,Yes,No,Yes,"https://linkedin.com/in/charles-moldow",""
"Charlie Ferguson","Charlie Ferguson",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",2575b7c4-1b4b-4e5d-8642-b46798709f56,No,Yes,Yes,No,Yes,"https://linkedin.com/in/charlie-ferguson",""
"Charlie Ferguson Senior (Lsvp)","Charlie Ferguson Senior (Lsvp)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",ffed0eb4-3d58-48ae-92a1-f4e59d80032d,No,Yes,Yes,No,Yes,"https://linkedin.com/in/charlie-ferguson-senior",""
"Charlie Pinto","Bling Capital",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",60d13352-bc44-4d8b-8386-059e033f8b80,No,Yes,Yes,No,Yes,"https://linkedin.com/in/charlie-pinto",""
"Charlotte Chapanoff (Boldstart)","Charlotte Chapanoff (Boldstart)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",9e79fd91-a2a4-40b8-b506-49bc1164860f,No,Yes,Yes,No,Yes,"https://linkedin.com/in/charlotte-chapanoff",""
"Chase Coleman","Chase Coleman",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",2102ab55-5565-4f2e-a080-e1c037447a4d,No,Yes,Yes,No,Yes,"https://linkedin.com/in/chase-coleman",""
"Chi An","Chi An",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",59b5f770-f86f-40b5-887b-f3c51a059e85,No,Yes,Yes,No,Yes,"https://linkedin.com/in/chi-an",""
"Chief Financial Officer (Northpondventures)","Chief Financial Officer (Northpondventures)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",413283c8-fdb7-4973-bec2-ec77a573317e,No,Yes,Yes,No,Yes,"https://linkedin.com/in/chief-financial-officer",""
"Chris Bischoff","Chris Bischoff",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",a88f154c-c3a5-45b6-a9ef-33cd460a670b,No,Yes,Yes,No,Yes,"https://linkedin.com/in/chris-bischoff",""
"Chris Harper","Torch Capital",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",78dd842e-5ce5-4bf4-9bd8-12fc75b5691d,No,Yes,Yes,No,Yes,"https://linkedin.com/in/chris-harper",""
"Chris Howard","Fuel Capital",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",0ffb5f3e-3487-4b88-8140-bec750883f38,No,Yes,Yes,No,Yes,"https://linkedin.com/in/chris-howard",""
"Chris Urmson","Chris Urmson",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",7b855525-862f-4517-a883-7284153d1382,No,Yes,Yes,No,Yes,"https://linkedin.com/in/chris-urmson",""
"Christian Bjelland","Christian Bjelland",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",98bbeb7f-e90d-4413-ab2d-b8e94cb57373,No,Yes,Yes,No,Yes,"https://linkedin.com/in/christian-bjelland",""
"Christine Mathews","Christine Mathews",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",8d78c6c6-4071-46d6-9919-a24883949d32,No,Yes,Yes,No,Yes,"https://linkedin.com/in/christine-mathews",""
"Christine Yoon","Christine Yoon",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",0658403b-eefd-4452-853f-1f37dc1297be,No,Yes,Yes,No,Yes,"https://linkedin.com/in/christine-yoon",""
"Ciamac Moallemi","Ciamac Moallemi",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",70b8b4e8-156e-48e4-a3a0-52f89e55dda8,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ciamac-moallemi",""
"Cindy McAdam","Cindy McAdam",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",9f49d083-fc0f-43d5-8d9e-dd36868dbf66,No,Yes,Yes,No,Yes,"https://linkedin.com/in/cindy-mcadam",""
"Citi Ventures","Citi Ventures",49,5,"bio; firm_description_normalized; check_size; notable_investments; url",a7c460ea-77c7-4a89-a039-3b902ac67496,No,Yes,Yes,No,Yes,"https://linkedin.com/in/citi-ventures",""
"Civilization Ventures","Civilization Ventures",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",c39950e6-6ae7-43a5-be55-7714573f0197,No,Yes,Yes,No,Yes,"https://linkedin.com/in/civilization-ventures",""
"Clare Ozawa, Ph.D.","Clare Ozawa, Ph.D.",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",b5ea8a1c-17c3-40aa-a633-8bb781d72fad,No,Yes,Yes,No,Yes,"https://linkedin.com/in/clare-ozawa",""
"Claudia Fan Munce","Claudia Fan Munce",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",db7ea305-2e31-43ae-945f-f1383165cb62,No,Yes,Yes,No,Yes,"https://linkedin.com/in/claudia-fan-munce",""
"Clay Dumas","Clay Dumas",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",bcfde651-1e7f-4e88-9cea-3b250053a597,No,Yes,Yes,No,Yes,"https://linkedin.com/in/clay-dumas",""
"Clay Fisher (Spark Capital)","Clay Fisher (Spark Capital)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",b352be75-f3fe-4953-9bcc-2f26c2d3e118,No,Yes,Yes,No,Yes,"https://linkedin.com/in/clay-fisher",""
"Clinton Bybee (Archventure)","Clinton Bybee (Archventure)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",98e47810-750a-4470-a7ef-58a419024b41,No,Yes,Yes,No,Yes,"https://linkedin.com/in/clinton-bybee",""
"Coen Armstrong","Coen Armstrong",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",d42857a8-5f23-4b73-8667-bfda82bd3f97,No,Yes,Yes,No,Yes,"https://linkedin.com/in/coen-armstrong",""
"Coen Armstrong (Spark Capital)","Coen Armstrong (Spark Capital)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",77097cc4-33c9-4ae3-a9c4-e2df26ec3151,No,Yes,Yes,No,Yes,"https://linkedin.com/in/coen-armstrong",""
"Coinstreet Partners","Coinstreet Partners",49,5,"bio; firm_description_normalized; check_size; notable_investments; url",1d5b6959-2b84-4a2f-b2f1-f437614c12b8,No,Yes,Yes,No,Yes,"https://linkedin.com/in/coinstreet-partners",""
"Comment Private Equity","Comment Private Equity",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",89cce677-4a97-4d4c-9cda-500e91055a18,No,Yes,Yes,No,Yes,"https://linkedin.com/in/comment-private-equity",""
"Comment Private Equity","Comment Private Equity",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",b83366ff-a289-4767-8489-0ec5e2c52527,No,Yes,Yes,No,Yes,"https://linkedin.com/in/comment-private-equity",""
"CommunicationsKim MacniakControllerRobin Praeger (Versantventures)","CommunicationsKim MacniakControllerRobin Praeger (Versantventures)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",c9faba46-baca-412c-bb17-1097ae03678f,No,Yes,Yes,No,Yes,"https://linkedin.com/in/communicationskim-macniakcontrollerrobin-praeger",""
"companies to helping (Haystack)","companies to helping (Haystack)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",b9741df4-a03b-4fdb-938d-b5cbe8018400,No,Yes,Yes,No,Yes,"https://linkedin.com/in/companies-to-helping",""
"competition watchdog probes (Penews)","competition watchdog probes (Penews)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",66441ada-0963-47de-9d21-92bb6a034bd0,No,Yes,Yes,No,Yes,"https://linkedin.com/in/competition-watchdog-probes",""
"competition watchdog probes (Penews)","competition watchdog probes (Penews)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",3b2b60c2-9789-4466-8ec8-9d2b9b0ad7e1,No,Yes,Yes,No,Yes,"https://linkedin.com/in/competition-watchdog-probes",""
"Connor Love","Connor Love",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",f21c45c8-700e-4dcc-9503-f52277514b13,No,Yes,Yes,No,Yes,"https://linkedin.com/in/connor-love",""
"Corey Ritter","Corey Ritter",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",69418af2-b1d5-4e40-825f-ff99c8531497,No,Yes,Yes,No,Yes,"https://linkedin.com/in/corey-ritter",""
"Corey Ritter (Archventure)","Corey Ritter (Archventure)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",82624f9f-baf2-4022-b1e2-8b230a13eeec,No,Yes,Yes,No,Yes,"https://linkedin.com/in/corey-ritter",""
"Court Square Capital Partners","Court Square Capital Partners",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",a628963f-b21b-4849-8ddd-3c8a022a2149,No,Yes,Yes,No,Yes,"https://linkedin.com/in/court-square-capital-partners",""
"Cowboy Ventures","Cowboy Ventures",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",9f7c19bf-3b67-4fba-95f9-d2e15f53f03e,No,Yes,Yes,No,Yes,"https://linkedin.com/in/cowboy-ventures",""
"CPP Investments","CPP Investments",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",f2726410-e431-41b1-bbe4-0f45542a9447,No,Yes,Yes,No,Yes,"https://linkedin.com/in/cpp-investments",""
"Crystal Sacca","Crystal Sacca",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",af4a749f-5b37-460f-b05a-6fe8606969a2,No,Yes,Yes,No,Yes,"https://linkedin.com/in/crystal-sacca",""
